brand_id;brand_name
5354727;1C
5354728;1С
5354729;20-TH CENTURY FOX
5354730;2ЖИРАФА
5354731;3COM
5354732;3LAGOSTINA
5354733;3M
5354734;3Q
5354735;3СOM
5354736;4TECH
5354737;4U
5354738;4WORLD
5354739;A & D COMPANY LTD
5354740;A&D
5354741;A-DATA
5354742;A-QUIP
5354743;A4 TECH
5354744;A4TECH
5354745;ABBYY
5354746;ACCLAIM
5354747;ACER
5354748;ACME
5354749;ACORP
5354750;ACOUSTIC ENERGY
5354751;ACRONIS
5354752;ACROPOLIS
5354753;ACSESUAR_HITECHNIC
5354754;ACTIVISION
5354755;AD
5354756;ADCOM
5354757;ADR
5354758;ADRENALIN
5354759;ADS
5354760;ADVENT
5354761;AEG
5354762;AEG-ELECTROLUX
5354763;AELITE
5354764;AFOTEX
5354765;AGFA
5354766;AGNITUM
5354767;AGVA
5354768;AIR-O-SWISS
5354769;AIRA
5354770;AIRMAX 2000
5354771;AIRWICK
5354772;AIWA
5354773;AKAI
5354774;AKELLA
5354775;AKG
5354776;AKIRA
5354777;AKMA
5354778;ALADDIN
5354779;ALAN
5354780;ALBATRON
5354781;ALCATEL
5354782;ALCOSCAN
5354783;ALDA
5354784;ALEKS
5354785;ALITY
5354786;ALKOTEL
5354787;ALLIGATOR
5354788;ALPARI
5354789;ALPINE
5354790;ALSER
5354791;ALTEC
5354792;ALWISE
5354793;AM DENMARK
5354794;AMERICAN MONSTER
5354795;AMF
5354796;AMI
5354797;AMICA
5354798;AMINO
5354799;AMSTAR
5354800;ANCHOR
5354801;ANGEL
5354802;ANGELIQUE
5354803;ANNA
5354804;ANNEX GROUP
5354805;ANSMANN
5354806;ANUBIS
5354807;ANY DATA
5354808;ANYDATA
5354809;AOPEN
5354810;AOS
5354811;APACER
5354812;APC
5354813;APOLLO
5354814;APOLLO PHONE
5354815;APPLE
5354816;APS
5354817;AQH
5354818;AQUAFOR
5354819;AR
5354820;ARC
5354821;ARCHOS
5354822;ARCITEC
5354823;ARCOS
5354824;ARCUISINE
5354825;ARDO
5354826;ARIA
5354827;ARIEL
5354828;ARIETE
5354829;ARISTON
5354830;ARISTON, INDESIT
5354831;AROWANA
5354832;ARVIN
5354833;ASKO
5354834;ASSISTANT
5354835;ASTONISH
5354836;ASTRA
5354837;ASUS
5354838;ASW
5354839;ATACAMA
5354840;ATAKA
5354841;ATARI
5354842;ATI
5354843;ATLANT
5354844;ATLANTA
5354845;ATLANTIC
5354846;ATLANTIS
5354847;ATMOR
5354848;ATT
5354849;ATTALUS
5354850;AUDIO PHYSIC
5354851;AUDIO PRO
5354852;AUDIOBAHN
5354853;AURORA
5354854;AUTO PERFUME
5354855;AUTOFUN
5354856;AV SERVICE
5354857;AVB
5354858;AVEC
5354859;AVENT
5354860;AVERMEDIA
5354861;AVERY
5354862;AVEST
5354863;AVIATOR
5354864;AXESS
5354865;AZIMUT
5354866;AZONA
5354867;B&D
5354868;B&W
5354869;BABEL
5354870;BABY LOCK
5354871;BABYLISS
5354872;BAD B. INTERNATION
5354873;BAIGYSH
5354874;BALLARINI
5354875;BALLU
5354876;BAMIX
5354877;BANDRIDGE
5354878;BANK
5354879;BARKAN
5354880;BARVA
5354881;BASF
5354882;BAUKNECHT
5354883;BBB
5354884;BBK
5354885;BEELINE
5354886;BEKO
5354887;BELKIN
5354888;BELL'O
5354889;BELLA
5354890;BELLO
5354891;BELSIS
5354892;BENCKISER
5354893;BENEFON
5354894;BENQ
5354895;BENQ-SIEMENS
5354896;BERLIOZ
5354897;BERNDES
5354898;BERNINA
5354899;BERUS
5354900;BESPECO
5354901;BEST
5354902;BEURER
5354903;BEVEL-EDGE
5354904;BIALETTI
5354905;BIERHOF
5354906;BIFINETT
5354907;BIGBEN INTERACTIVE
5354908;BIMATEK
5354909;BIMSERVICE
5354910;BINATONE
5354911;BISSELL
5354912;BITDEFENDER
5354913;BITRONIC
5354914;BLACK & DECKER
5354915;BLACK & DECKER GMB
5354916;BLACK HAWK
5354917;BLACK HORNS
5354918;BLACKBOXX
5354919;BLACKSTER
5354920;BLAUPUNKT
5354921;BLAUREN
5354922;BLIZZARD
5354923;BLOMBERG
5354924;BLOSSOM
5354925;BLUESKY
5354926;BLUESPOON
5354927;BLUSKY
5354928;BOHMANN
5354929;BOLIDON
5354930;BONE
5354931;BONE CRUSHER
5354932;BONECO
5354933;BONITO
5354934;BOOKEEN
5354935;BORK
5354936;BORSAN
5354937;BORT
5354938;BOSCH
5354939;BOSE
5354940;BOSONIC
5354941;BOSTON ACOUSTICS
5354942;BRANDT
5354943;BRATECK
5354944;BRAUN
5354945;BRAVIS
5354946;BRAVO
5354947;BREEZE
5354948;BRENNENSTUHL
5354949;BRIDGE
5354950;BRILLIANT
5354951;BRITA
5354952;BROAN
5354953;BROTHER
5354954;BRUNO
5354955;BRYSTON
5354956;BTC
5354957;BUBBLE ICE
5354958;BUENA VISTA
5354959;BUKA
5354960;BUKA ENTERTAINMENT
5354961;BUREAUCRAT
5354962;BURO
5354963;BURSTENMANN
5354964;BURTI
5354965;BVG
5354966;"C&QUOT;S GLORY"
5354967;C'S GLORY
5354968;C.E.O.
5354969;CADENCE
5354970;CALCELL
5354971;CALGON
5354972;CAMBRIDGE
5354973;CAMELION
5354974;CAMERON
5354975;CAMPINGAZ
5354976;CANDY
5354977;CANON
5354978;CANTON
5354979;CANYON
5354980;CAPCOM
5354981;CARIBI
5354982;CARINO
5354983;CARNITURA
5354984;CARPLAN
5354985;CASE LOGIC
5354986;CASIO
5354987;CASTLE
5354988;CATA
5354989;CAVEI
5354990;CD LAND
5354991;CD LEND
5354992;CD-MARKET
5354993;CDCOM
5354994;CELERON
5354995;CELESTION
5354996;CELESTRON
5354997;CELLECT
5354998;CELLULAR LINE
5354999;CENOMAX
5355000;CENTEL
5355001;CENTRONICS
5355002;CERATEC
5355003;CERRY
5355004;CERWIN-VEGA
5355005;CHAMELEON
5355006;CHANGHONG
5355007;CHEETAH
5355008;CHERRY
5355009;CHICONI
5355010;CHICONY
5355011;CHRONOS
5355012;CHUCHU
5355013;CILLIT BANG
5355014;CILLIT BRILLIANT
5355015;CINEMA TRADE
5355016;CINEPRO
5355017;CISCO
5355018;CITIZEN
5355019;CLARION
5355020;CLASSIC COMPANY
5355021;CLATRONIC
5355022;CLEAN POINT
5355023;CLEARLINE
5355024;CLIFFORD
5355025;CLIO
5355026;CLOER
5355027;CMOTECH
5355028;COBRA
5355029;CODEGEN
5355030;CODEMASTERS
5355031;COLDMASTER
5355032;COLOR
5355033;COLORVISION
5355034;COLORWAY
5355035;COLUMBIA
5355036;COM EXP
5355037;COMAT
5355038;COMIND
5355039;COMO
5355040;COMPAQ
5355041;COMPEX
5355042;COMPRO
5355043;COMPUTER EXPRESSIONS
5355044;CONRAC
5355045;CONTINENT
5355046;COOLER MASTER
5355047;COOLFORT
5355048;COREL
5355049;CORNING
5355050;CORONET
5355051;CORSAIR
5355052;CORTLAND
5355053;COSONIC
5355054;CP DIGITAL
5355055;CP ДИДЖИТАЛ
5355056;CRAFTMANN
5355057;CRATE
5355058;CREATIVE
5355059;CRISTALL-FIX
5355060;CROWN
5355061;CRUISER
5355062;CRUMPLER
5355063;CTX
5355064;CURVER
5355065;CYBERPOWER
5355066;CYBERSNIPA
5355067;CYCLONE
5355068;CYFRAL
5355069;D-LINK
5355070;DA LITE
5355071;DAEWOO
5355072;DAIKIN
5355073;DALI
5355074;DANTEX
5355075;DARINA
5355076;DATA COPY
5355077;DATEX
5355078;DAXX
5355079;DAYMOON
5355080;DAYTEK
5355081;DBF CREATIVE
5355082;DE LUXE
5355083;DEEPCOOL
5355084;DEFENDER
5355085;DEFORT
5355086;DEJA
5355087;DEKOK
5355088;DELFICS
5355089;DELL
5355090;DELL ARABICA
5355091;DELONGHI
5355092;DELRIN WEDGIE
