PID;PRICE
111;
41000071;899
41000072;1299
41000130;399
41000146;1399
41000147;2899
42000229;890
42000230;890
42002365;2590
43002841;99
44000001;999
44040025;3899
44040026;5999
44102160;99
45300525;3599
45300528;7999
46500146;1999
47420063;299
47610020;2999
49200003;5889
49200010;5289
49200026;6389
49306003;1379
50220112;15459
54120081;3489
56000003;3999
56000123;8789
56000141;3999
56000458;1869
56000473;10749
56000534;10859
57110049;3489
57410012;1989
57420135;2989
58150041;1599
58150065;2019
60100032;209
60100047;229
60212663;419
60350130;3999
62110038;4969
62310010;13699
63210115;14989
65130084;4539
65130095;4309
65130096;7399
68110172;15629
68110184;13489
82320212;450
39400100;2189
68110177;15629
70000004;6499
68120126;9589
58424501;1699
54110162;1619
56000646;4289
56009119;2219
65130082;5549
60100048;59
68120146;5569
71000321;389
71000323;499
71000325;529
49100168;2989
55200097;3309
45201339;1940
55200094;2189
71000933;2799
71000934;699
48130094;8499
71000770;749
71001370;399
71001583;260
71000328;579
71001246;690
71001677;249
71002275;449
71002276;399
71002319;499
89000950;8999
71001788;199
71001789;199
71001910;149
71000349;699
71000351;699
71000353;699
71000354;699
71000355;699
71000356;699
78001759;299
71002129;599
71002639;10999
58140011;2499
71003751;49
71003753;49
71003199;899
71003247;399
78310071;749
71003969;1819
71003371;5299
71002277;699
71002285;449
71002298;777
71002294;399
71005839;1199
71002169;300
92613506;359
71006123;777
71006125;777
71004134;149
71004137;199
71003169;11799
71006887;3449
71004052;6399
71006428;10119
71007406;3589
71007407;899
71002622;2189
71008124;16849
71007970;1499
71002637;6499
71006617;3589
71007762;32999
71008641;999
71008496;2699
71008497;2799
71007945;8999
71010316;89999
71010212;499
71010383;299
71010466;1499
71010467;1499
71010850;880
71010311;1799
71010840;22989
71010086;399
71008499;2999
71010981;249
71011094;2199
71011466;999
49100153;989
71012183;2919
71012184;949
71011400;10689
41000127;1799
71012414;799
71013137;139
71010841;14699
71012469;27999
71011073;15299
71013829;299
71013930;1099
71013729;2999
71013996;249
71012527;999
71012529;399
71010261;299
71010443;179
71014537;859
71013878;999
71013891;999
71015618;989
71015620;599
71015621;599
71015989;1399
71005550;99
71015582;300
71015957;169
71015855;2099
71013931;999
71015375;14499
71015467;549
71016779;509
71017457;52929
71016918;1919
71015211;299
71015212;499
71015213;299
71015215;699
74101762;22999
71017000;1199
71018469;240
71013827;289
71018145;599
71019303;20609
71019800;599
71015614;1799
71020577;4949
71020587;8999
71001595;359
71019790;389
71020639;7299
71010274;360
71020030;8269
71021028;810
71021257;499
71021220;399
71008102;12679
71018690;299
71022136;4049
71022137;3149
71021855;4099
71022064;2199
71018792;599
71022243;959
71022751;409
