id;count;ax44
016001343;1.000;0090
056000458;11.000;0090
057400005;8.000;0090
071000933;2.000;0090
071000934;1.000;0090
071002129;3.000;0090
071002275;1.000;0090
071002277;1.000;0090
071002298;1.000;0090
071004134;1.000;0090
071004137;1.000;0090
071010316;5.000;0090
071010466;3.000;0090
071010675;6.000;0090
071010981;1.000;0090
071013878;1.000;0090
071015215;1.000;0090
071015855;1.000;0090
071016779;9.000;0090
071017000;5.000;0090
071019303;5.000;0090
071022707;1.000;0090
071024405;1.000;0090
071024412;59.000;0090
071027902;9.000;0090
071028159;3.000;0090
071029594;1.000;0090
071030061;3.000;0090
071030903;1.000;0090
071031306;4.000;0090
071036770;1.000;0090
071036771;1.000;0090
071037203;1.000;0090
071037883;3.000;0090
071037945;1.000;0090
071038167;1.000;0090
071038759;3.000;0090
071038891;2.000;0090
071038898;1.000;0090
071039069;1.000;0090
071039098;1.000;0090
071039153;1.000;0090
071039175;2.000;0090
071040159;9.000;0090
071040160;1.000;0090
071040180;1.000;0090
071040213;1.000;0090
071040523;3.000;0090
071040524;3.000;0090
071040551;3.000;0090
071040606;6.000;0090
071040676;1.000;0090
071040903;3.000;0090
071041641;24.000;0090
071041663;11.000;0090
071041739;1.000;0090
071041740;1.000;0090
071041742;1.000;0090
071041748;1.000;0090
071041753;1.000;0090
071041754;1.000;0090
071041755;1.000;0090
071041756;1.000;0090
071043201;3.000;0090
071043747;32.000;0090
071044433;95.000;0090
071048171;1.000;0090
071050218;1.000;0090
071050414;1.000;0090
071050710;1.000;0090
071050712;1.000;0090
071050713;3.000;0090
071050715;1.000;0090
071051017;6.000;0090
071051177;3.000;0090
071052871;1.000;0090
071052888;1.000;0090
071053250;3.000;0090
071053903;1.000;0090
071054111;1.000;0090
071054253;1.000;0090
071054609;81.000;0090
071054836;3.000;0090
071054838;1.000;0090
071055053;8.000;0090
071055721;1.000;0090
071055748;3.000;0090
071055750;3.000;0090
071055943;3.000;0090
071056721;1.000;0090
071056774;1.000;0090
071065461;1.000;0090
071065599;8.000;0090
071065600;1.000;0090
071065732;1.000;0090
071065832;3.000;0090
071065837;3.000;0090
071065915;1.000;0090
071065938;3.000;0090
071066086;1.000;0090
071066089;1.000;0090
071066469;1.000;0090
071066589;1.000;0090
071066605;1.000;0090
071066606;1.000;0090
071066713;6.000;0090
071066733;1.000;0090
071066735;1.000;0090
071067252;1.000;0090
071067384;1.000;0090
071067560;1.000;0090
071067902;2.000;0090
071067903;1.000;0090
071067913;10.000;0090
071067914;10.000;0090
071068227;1.000;0090
071068265;3.000;0090
071068733;1.000;0090
071068834;1.000;0090
071068837;1.000;0090
071068967;2.000;0090
071069028;1.000;0090
071069084;22.000;0090
071069085;1.000;0090
071069178;1.000;0090
071069295;2.000;0090
071069360;1.000;0090
071069439;1.000;0090
