category_id;category_uri;category_link
1119681;4020;208
1119684;4040;209
1119720;6007;221
1119723;6008;222
1119726;6009;223
1119756;7025;233
1119759;7026;234
1119786;4041;812
1119789;3011;857
1119801;1028;1448
1119804;1029;1449
1119807;1030;1450
1119813;1034;1452
1119819;1038;1454
1119822;1039;1455
1119825;1040;1456
1119828;1041;1457
1119831;1120;1458
1119834;1042;1459
1119837;1044;1460
1119843;1046;1462
1119846;1047;1463
1119850;1048;1464
1119853;1049;1465
1119856;1111;1466
1119859;1112;1467
1119862;1053;1468
1119865;1054;1469
1119868;1092;1470
1119880;1110;1474
1119889;1102;1477
1119895;1059;1479
1119898;1109;1480
1119901;1114;1481
1119904;1064;1482
1119913;1113;1485
1119919;1063;1488
1119922;1070;1489
1119925;1071;1490
1119928;1072;1491
1119931;1073;1492
1119937;1090;1494
1119940;1079;1495
1119943;1080;1496
1119946;1118;1497
1119949;1085;1498
1119952;1086;1499
1119955;1087;1500
1119958;1091;1501
1120000;2036;1515
1120006;2039;1517
1120033;2059;1526
1120036;2060;1527
5760797;5760797;1532
1120060;2070;1535
1120063;2073;1537
1120066;2074;1538
1120075;2514;1541
1120111;3002;1553
1120117;3005;1555
1120120;3006;1556
1120177;4005;1574
1120195;4018;1581
1120216;4022;1588
1120243;4029;1597
1120255;4030;1601
1120258;4031;1602
1120261;4039;1603
1120264;4036;1604
1120267;4037;1605
1120336;5050;1628
22611329;22611329;1633
1120378;5073;1642
1120390;5079;1646
1120393;5081;1647
1120405;5104;1651
1120420;5120;1656
1120423;5165;1657
1120432;5128;1660
1120435;5161;1661
1120447;5141;1665
1120450;5142;1666
1120456;5148;1668
1120459;5153;1669
1120462;5154;1670
1120465;5159;1671
157409198;157409198;1672
1120561;6006;1703
1120600;7008;1716
1120603;7009;1717
1120618;7017;1722
1120630;7019;1726
1120633;7020;1727
1120648;7023;1732
1120651;7010;1733
2036564;2036564;1739
1120672;1009;1740
1120681;1020;1743
1120684;1099;1744
1120687;1100;1745
1120690;1117;1746
1120693;1021;1747
1120696;1023;1748
1120699;1024;1749
1120702;1025;1750
1120705;1026;1751
1120714;1094;1754
1120720;1096;1756
1120723;1056;1757
1120726;1060;1758
1120729;1061;1759
1120732;1119;1760
1120735;1106;1761
1120738;1103;1762
1120741;1107;1763
1120744;1108;1764
1120747;1104;1765
1120750;1105;1766
1120753;1066;1767
1120756;1067;1768
1120759;1075;1769
1120762;1076;1770
1120765;1081;1771
1120768;1082;1772
2601858;2601858;1782
1120814;2041;1787
1120817;2042;1788
1120820;2043;1789
1120823;2044;1790
1120826;2045;1791
1120829;2076;1792
1120872;2057;1806
1120875;2058;1807
1120908;2562;1818
1120911;2540;1819
1121124;5020;1890
1121136;5024;1894
1121151;5034;1900
1121193;5061;1914
1121199;5062;1916
1121202;5063;1917
1121214;5069;1921
1121217;5070;1922
16014157;16014157;1925
1121229;5080;1926
1121235;5083;1928
1121238;5084;1929
1121241;5086;1930
1121244;5200;1931
1121253;5095;1934
1121256;5096;1935
1121262;5101;1937
1121265;5102;1938
1121277;5113;1942
1121280;5114;1943
1121286;5117;1945
1121292;5119;1947
1121298;5127;1949
1121307;5133;1952
1121316;5138;1955
1121319;5139;1956
1121322;5140;1957
1121490;1013;2013
1121493;1014;2014
1121496;1015;2015
1121499;1017;2016
1121502;1018;2017
1121505;1019;2018
1121565;5090;2039
1121568;5092;2040
1121580;5124;2044
1121583;5125;2045
1121619;1121;3010
1121622;1122;3011
1121625;2567;3012
1121631;2080;3014
1121646;5170;3019
1121661;2081;3024
1121679;5171;12093
1121682;1126;12192
1121691;6557;15128
1121697;5571;15202
1121700;5572;15203
1121703;5573;15205
1121706;5574;15206
1121709;5575;15207
1121712;5576;15208
1121715;5577;15209
1121718;2568;15240
1121721;2569;15253
325333938;325333938;15253
1121724;2570;15265
1121727;2571;15275
1121730;2572;15285
1194737;1194737;15383
1194785;1194785;15384
1308341;1308341;15421
1309930;1309930;15436
1461428;1461428;15448
1461649;1461649;15455
1464837;1464837;15476
1482093;1482093;15493
1524245;1524245;15504
1508428;1508428;15507
1514421;1514421;15530
1514429;1514429;15531
1545024;1545024;15533
1551531;1551531;15637
1552800;1552800;15650
1613059;1613059;15660
1624320;1624320;15671
1634381;1634381;15683
1651564;1651564;15691
1667707;1667707;15706
1669194;1669194;15707
1671968;1671968;16089
1674535;1674535;16108
1678999;1678999;16119
1761560;1761560;16131
1773456;1773456;16138
1783016;1783016;16141
1785615;1785615;16145
1793393;1793393;16158
1796546;1796546;16164
1798279;1798279;16180
1805368;1805368;16182
1805374;1805374;16183
1806732;1806732;16212
2930891;2930891;16224
1819768;1819768;16225
1821045;1821045;16233
1823729;1823729;16243
1825624;1825624;16246
1825179;1825179;16267
1828056;1828056;16280
1889168;1889168;16289
1831494;1831494;16291
1889190;1889190;16292
2036395;2036395;16293
1839809;1839809;16305
1850535;1850535;16321
1867539;1867539;16333
1868219;1868219;16341
1889140;1889140;16365
1889572;1889572;16375
