category_id;category_name
1119579;Аксессуары
1119795;Медианосители
1120672;CD
1120675;DVD
1121490;DVD+R/RW
1121493;DVD-R/RW
1121496;DVD-RAM
1120678;Видеокассеты
1121499;Видеокассеты VHS
1121502;Видеокассеты miniDV
1121505;Видеокассеты Video8
1120681;Аудиокассеты
102003866;Аксессуары для мультиварок
102019822;Аксессуары для мультиварок
1120693;Чистящие кассеты и средства
1119798;Элементы питания
1120696;Аккумуляторы
102336710;Ударные скидки
102366947;Телевизоры, аудио и видео
1120699;Батарейки
1120702;Зарядные устройства
1120705;Сетевые адаптеры
1119600;Аксессуары для автотехники
1119801;Антенны
1119804;Кабели/Переходники
1119807;Другие автоаксессуары
1119603;Аксессуары для телевизоров, аудио, видео
1119813;Кабели и переходники для аудио
1119819;ТВ-Антенны
1119822;Пульты
103945183;Молокоотсосы
1119825;AV-Сендеры
1119828;Стойки для CD/DVD
1119834;Футляры для CD/DVD
1119606;Аксессуары для фото и видео
1119837;Фотопленка
1119843;Фотоальбомы
1119846;Фоторамки
1119850;Штативы
1119853;Микрофоны
1119609;Компьютерные аксессуары
1119862;Сетевые фильтры
10532818;Красота и здоровье
10532903;Для холодильников
10532906;Для кух. комбайнов
10532909;Для мясорубок
10532912;Для блендеров
10532915;Для фритюрниц
10532921;Удлинители
10533020;Игровые аксессуары
10533023;Аксессуары для приборов для укладки волос
1119865;Источники бесперебойного питания
1119612;Аксессуары для дома и кухни
1120723;Аксессуары для холодильников
1119895;Аксессуары для электробритв
1120726;Аксессуары для вытяжек
1120729;Аксессуары для посудомоечных машин
1119919;Фонари
1119904;Средства для чистки
1119907;Фильтры для воды
1120753;Фильтры для воды
1120756;Сменные картриджи
1119615;Аксессуары для телефонов
1119922;Внешние аккумуляторы
1119925;Сетевые зарядные устройства
1119928;Автомобильные зарядные устройства
1119931;Дата-кабели
1120759;Bluetooth-гарнитуры
1120762;Проводные гарнитуры
1119940;Сумки и чехлы
1119943;Украшения
1120765;Брелки
1120768;Шнурки
1119618;Аксессуары для домашних телефонов
1119949;Дополнительные трубки
1119952;Аккумуляторы
1119955;Шнуры и штекеры
1119937;Адаптеры Bluetooth
1119958;Модемы
1119868;Кабели для PC
1120714;Колонки
1120720;Микрофоны
1120684;Минидиски
1120687;Дискеты
1119889;Аксессуары для стиральных машин
1120738;Аксессуары для кухонных комбайнов
1120747;Аксессуары для кофеварок
1120750;Аксессуары для фритюрниц
1120735;Аксессуары для утюгов
1120741;Аксессуары для мясорубок
1120744;Аксессуары для блендеров
1119898;Аксессуары для приборов для укладки волос
1119880;Средства для ухода за электроникой
1119856;Средства для ухода за оптикой
1119859;Оригинальные аккумуляторы
1119913;Часы и будильники
1119901;Прочее
1119886;Аксессуары для мелкой бытовой техники
1120690;Прочие носители
1119946;Прочее
1120732;Аксессуары для СВЧ
1119831;Аксессуары для музыкальных инструментов
1121619;FM-трансмиттеры
1121622;Конденсаторы
1121682;Все аксессуары для игровых приставок
1194737;Объективы
1194785;Вспышки
122983457;Электрокамины
123990739;Климатические комплексы
12492473;Рекордеры
128996542;OLED телевизоры
129023099;Smart телевизоры
1308341;Все игровые приставки
1309930;Тумбы со встроенной акустикой
133663727;Праздничные Суперцены
134196386;Приборы для ухода за кожей
134367920;Подарочные карты
134714443;Жесткий диск
134960959;Системы видеонаблюдения
135012548;Карты памяти
13525040;Лампочки
13527721;Лампочки
13527998;Светильники
137547392;Ultra HD телевизоры
140292818;Моноблоки
140799164;Гитары
143455027;Зарядные устройства
143479867;Зарядные устройства в авто
14393177;Защитные пленки для телефонов
144183889;Хранение дисков CD/DVD
14444711;Защитные пленки для планшетов
144610453;Выпрямители для волос
1461428;Смартфоны
1461649;Системные блоки
1464837;Сотовые телефоны
146738432;Кухонные машины
14718086;Услуги
14718899;Установка и настройка
14718902;Обслуживание и профилактика
14718923;Доработки
14720320;Продление гарантии
14720348;Установка встраиваемой техники
14720369;Программа профилактики
14720383;Сервис возврата потерянных вещей
14720480;Установка бытовой техники
14720518;Установка и настройка телевизоров, домашних кинотеатров и спутникового оборудования
14720563;Установка кондиционеров
14720761;Все доработки
1482093;LED телевизоры
14882810;Решение проблем
14882975;Прочие услуги
14883500;Возврат и обмен техники
14883617;Ремонт техники
14883650;Фотоуслуги
150543968;Мультирезки
1508428;Аэрогрили
1510454;Кино
1514421;DVD-диски
1514429;Музыка
151708568;Электрошашлычницы
1524245;Автомагнитолы
153534404;Стеклоочистители
153546979;Чехлы-аккумуляторы
1545024;Холодильники
1551531;Морозильники
1552800;Портативные холодильники
155614567;Минимойки
155615269;Минимойки
155617868;Полив и орошение
155618875;Дождеватели
155619391;Садовые шланги
155656561;Аксессуары для минимоек
155742307;Насосы
155758609;Аксессуары для ремонтной техники
155767435;Пистолеты для полива
156670580;Фотоэпиляторы
156849290;Вспениватели молока
157409198;Сетевые переходники
157409516;Сетевые переходники
158026615;Стилусы
158026771;Стилусы
158028919;Оборудование Powerline
158105066;Садовая мебель
158105474;Столы и кресла
158526848;Надувные кровати
158564792;Аксессуары для надувной мебели
159093691;Дверные звонки
159157837;Супер комплект от Microsoft
159354649;Электроинструмент
159356755;Перфораторы
159398060;Биотуалеты
159399289;Аксессуары для биотуалетов и септиков
159574183;Дрели
159633116;Шуруповерты
159635161;При покупке ноутбука ? Microsoft Office в подарок!
159972187;Рубанки
159976213;Товары для дома, сада и ремонта
159976460;Кемпинг
159976484;Товары для отдыха
159976586;Инструменты
159977905;Аксессуары для дома, сада и ремонта
159978002;Аксессуары для дома, сада и ремонта
16014157;Сэндвич-тостеры
16020487;Настройка компьютерной техники
1613059;Микроволновые печи
1624320;Стиральные машины
1634362;Объективы, оптика, вспышки
1634381;Телескопы
163457791;Шлифовальные машины
16514705;Индукционные варочные панели
